Product_ID,Model,Store,Category,Description,Quantity,Stock_Status,Outstanding_Order_Qty,store_id,Total_Positive_Units,Avg_Positive_Velocity,Max_Monthly_Units,Active_Sales_Periods,Velocity_Band,ABC_Class,Demand_Status,Stock_Band,ABC_Priority,Velocity_Priority,Reorder_Recommendation,Recommendation_Reason,Slow_Mover_Action,Slow_Mover_Reason,Inventory_Decision,Decision_Priority,Decision_Reason,Inventory_Segment
1320,WEK365WCS,Blanch,WASHING MACHINES,Miele (12392780) 10kg 1400 Spin Washer,0,OUT_OF_STOCK,0,2,3.0,3.0,3.0,1,HIGH,A,OBSERVED_SALES,OUT_OF_STOCK,3,3,REORDER - HIGH PRIORITY,Out of stock with high demand or A-class priority,NO ACTION,No current slow-mover rule breached,PRIORITY REPLENISHMENT,2,Out of stock with high demand or A-class priority,HIGH PRIORITY REPLENISHMENT
1320,WEK365WCS,Navan,WASHING MACHINES,Miele (12392780) 10kg 1400 Spin Washer,0,OUT_OF_STOCK,0,6,3.0,3.0,3.0,1,HIGH,A,OBSERVED_SALES,OUT_OF_STOCK,3,3,REORDER - HIGH PRIORITY,Out of stock with high demand or A-class priority,NO ACTION,No current slow-mover rule breached,PRIORITY REPLENISHMENT,2,Out of stock with high demand or A-class priority,HIGH PRIORITY REPLENISHMENT
1320,WEK365WCS,Belfast,WASHING MACHINES,Miele (12392780) 10kg 1400 Spin Washer,1,IN_STOCK,0,1,3.0,3.0,3.0,1,HIGH,A,OBSERVED_SALES,LOW,3,3,REORDER - HIGH PRIORITY,Low stock with high sales velocity,NO ACTION,No current slow-mover rule breached,PRIORITY REPLENISHMENT,2,Low stock with high sales velocity,HIGH PRIORITY REPLENISHMENT
1320,WEK365WCS,Cavan,WASHING MACHINES,Miele (12392780) 10kg 1400 Spin Washer,1,IN_STOCK,0,3,3.0,3.0,3.0,1,HIGH,A,OBSERVED_SALES,LOW,3,3,REORDER - HIGH PRIORITY,Low stock with high sales velocity,NO ACTION,No current slow-mover rule breached,PRIORITY REPLENISHMENT,2,Low stock with high sales velocity,HIGH PRIORITY REPLENISHMENT
1320,WEK365WCS,Dundrum,WASHING MACHINES,Miele (12392780) 10kg 1400 Spin Washer,1,IN_STOCK,0,4,3.0,3.0,3.0,1,HIGH,A,OBSERVED_SALES,LOW,3,3,REORDER - HIGH PRIORITY,Low stock with high sales velocity,NO ACTION,No current slow-mover rule breached,PRIORITY REPLENISHMENT,2,Low stock with high sales velocity,HIGH PRIORITY REPLENISHMENT
1320,WEK365WCS,Sandyford,WASHING MACHINES,Miele (12392780) 10kg 1400 Spin Washer,1,IN_STOCK,0,7,3.0,3.0,3.0,1,HIGH,A,OBSERVED_SALES,LOW,3,3,REORDER - HIGH PRIORITY,Low stock with high sales velocity,NO ACTION,No current slow-mover rule breached,PRIORITY REPLENISHMENT,2,Low stock with high sales velocity,HIGH PRIORITY REPLENISHMENT
